full_text,label
我得到的上海市徐匯區的防控工作日報，1月23日到1月24日。內部的文件，你們不用問怎麼得到的，我可以保證是真實文件！24小時內，發熱門診接診523人，留院觀察5人，累計12人。新增所謂「疑似」病例7人，累計14人，其實就是不給確診！中共說只有1人確診！六院已經徹底封閉！請注意，這僅僅是一個區！ https://t.co/voe7OZzxYo,1
"人是不可以直接照射紫外線燈的，會致癌... 那些防曬乳液擦的就是在防紫外線啊?



以前實驗室工作的時候，不小心開到紫外線燈都會被罵，而且沒有照射超過30分鐘以上根本眉什麼用?



實驗室裏都是下班時開，自動計時到隔天上班前關掉。



你不是細菌/病毒 不能這樣殺?



#武漢肺炎 #錯誤觀念 https://t.co/rv4zhHJU27",0
"在行政長官林鄭月娥公佈《施政報告》期間，多名立法會議員及官員分心玩手機。其中，新民黨主席葉劉淑儀先用手機到香港01網站查看疫情確診數字，之後再搜索大陸劇集資訊，包括神仙愛情故事《花千骨》及偶像劇《一千零一夜》。

#施政報告 https://t.co/t7gGMsS2Aw",1
最新消息：華為被WiFi聯盟開除！這是否意味著華為以後的手機將不能用WiFi？😂現在人們普遍認為下一個是藍牙！不過五毛不用擔心，任正非說，華為早就有了備胎！華為應該感謝美國，沒有美國，華為花幾千億研發的「備胎」不就變花瓶了？現在是展示實力的時候了！😆,1
要說亞洲（不包括中國）疫情處理比較好的原因，一是SARS和MURS的慘痛經歷，民間反應比政府都快，和聽話無關（新加坡最聽話了吧）二是像日本這種雖沒有流行病經驗但天災應對的訓練充份，基礎良好，反應慢一點但一行動，效率就高；三是對政府沒那麼有依賴感，從防戰亂到防天災，自救救人的傳統一直在。,0
"說個中推圈可能政治不正確的話：

在牆外，民間報導湖北各地的死亡案例非常多，肯定超出官方數字；但在湖北以外的中國各地，極少見到民間報導的死亡病例。是湖北以外地方的人不翻牆？還是翻出來的都配合官方維穩？抑或湖北以外的死亡病例確實很少？比較合理的解釋是最後者。

所以我覺得病毒其實不烈。",0
中国专家为赵立坚站台：3月18日，在由廣州市人民政府新聞辦舉行的通氣會上，中國工程院院士鍾南山表示，沒有證據表明新冠肺炎疫情源頭在武漢。沒有搞清楚以前就隨便下結論，我看是不負責任的。,0
🇨🇳🇺🇸 Fake News 埋身肉搏戰：#中國 外交部發言人爆料，認為 #武漢肺炎 病毒源頭可能源自美軍，由美軍帶到武漢造成世界悲劇，並呼籲 #美國「Be Transparent!」戈培爾復生，也甘拜下風。 https://t.co/O8XfOZp13o,0
"G7視像會議結束後各自發聲明，德法意加: 全力支持世衛及肯定其工作!

https://t.co/VK9ajGRR6F

- 分享自 LIHKG 討論區 https://t.co/2wiIBkG32q",0
台灣省內媒體依然把新冠病毒肺炎稱武漢肺炎報導，完全不顧世衛組織糾正，不得取地名國名種族名稱，這是霉國的藩屬殖民政權，與兩蔣時期氣氛迥異，那時兩蔣還撐著前中央政府威望統領台灣，教授的歷史地理還是中國全境，沒有分國內外，只稱大陸為淪陷區。這些 DDP徒眾不識中國歷史，自外於民族，可悲！,0
"第一次看到紐時居然沒讚揚中國?



疫情蔓延，世界為中國的獨裁統治付出代價 



- 紐約時報中文網 https://t.co/fpMHZvONzB",0
"剛才七哥在班農先生的節目中用英文說，

在歐洲的P4實驗室逃出來的專家 說他有所有資料和真相

他不怕中共 但他怕美國人

因爲武漢P4實驗室得到了美國的資金和技術支持

他怕他來美國後被美國人做掉",1
【北京：#未參加醫保的境外輸入病例自費治療】3月14日，北京市政府副秘書長陳蓓表示，未參加國內醫保的 #新冠肺炎 回國輸入病例所發生的費用原則上由患者個人負擔。參加醫療保險人員回國確診為確診病例或疑似病例所發生的費用，報銷後再實施補助，個人不需要附帶費用。https://t.co/lvZHuu0EuY https://t.co/VZMrlPEYUM,0
【鍾南山：中國沒有大量的“無症狀感染者”】鍾南山院士表示，目前對中國國內無症狀感染者的情況了解有限。一般來說，無症狀感染者對與其密切接觸的人的傳染率很高。根據已知事實，可以做出一些推斷，中國近期新冠肺炎確診病例數不僅沒有上升，反而在不斷下降，這說明中國還沒有大量的“無症狀感染者”。 https://t.co/Es66ZOTELR,0
"今天午餐。

四方屋裡　什麼都沒有　只有被隔離進來的落寞
我在牆角獨坐　便當菜色的起落　我無法猜透

更多更詳盡歌詞 在 ※ https://t.co/ouxtY2hbYU　魔鏡歌詞網 

#隔離增胖營 https://t.co/1sjn3ZWop1",0
"疫情不息，選情堪憂，川普最近壓力很大。



勝選要靠民意，但他目前糾結的是：到底是繼續貿易談判，靠中國訂單拯救經濟來獲得民心，還是用報復中國來獲得民心？前者看似合理，但有很多變數，容易被中共利用、拖延、欺騙；後者簡單粗暴，但爽過之後，後續影響難以預估。



看美國的主流民意吧。",0
"Am730

《環球時報》總編胡錫進昨晚在微博發文，批評澳洲呼籲各國獨立調查疫情起源，是響應美國「咬中國」



更形容澳洲是「粘在中國鞋底上的嚼過的口香糖」。他呼籲中國人在疫情過後，無論與澳洲做生意，或送子女到澳洲讀書，「都需要有更多風險意識。」



#胡錫進 #中国 #中國 https://t.co/8hAPPyi1VW",0
"【美國市長稱去年11月感染新冠病毒 美媒：比首例早2個月】據美媒報導，美國新澤西州貝爾維爾市長Michael Melham4月30日表示，自己在2019年11月就已感染新冠病毒。檢測結果也顯示，他已擁有新冠病毒抗體。

美國今年1月20日才報導首例新冠病毒確診病例，比梅勒姆提到的感染日期，晚了2個多月。 https://t.co/YH2u7yHZzf",0
今天中國《財經》一篇報導震驚海內外：《數字統計之外的人：他們死於&lt;普通肺炎&gt;？》。武漢市當局故意不給大量新型冠狀病毒感染者「確診」，以至於他們得不到收治，這樣，這些患者的生死就不在武漢市疫情統計範圍。武漢市當局必須立即停止這種反人類的犯罪。不知道這種犯罪是不是習近平「親自指揮」？ https://t.co/AsFLBgyQ1R,1
"""我們社區人員不是你們想吿就告得了的，別搞你們那一套"" 
""你什麼高血壓的藥非要到醫院去開，藥店買不了麼？哪個高血壓的藥都是降血壓的"" 
“為了你的命要麻煩多少人的時間”
""能吃兩頓飯就只吃一頓飯""

厲害啦中國，能讓人活得像個人嗎？
新疆的漢人現在也不好受了吧 https://t.co/cX0PsBiRCl",1
"【中國願借拉丁美洲295億元 購買中國製疫苗】



#墨西哥 外交部長表示，本月 22 日 #中國 外交部長王毅在與拉丁美洲的線上外交會議中宣布，將提供10億美元的貸款，協助拉丁美洲和加勒比海地區購買中國製 #武漢肺炎 疫苗。



https://t.co/kf5rWstt81 https://t.co/He3GxGR4gt",0
共和黨全國委員會主席Ronna McDaniel也被檢驗新冠病毒陽性。真是怪事，中國病毒專門感染共和黨人？,0
"蘋果
【娛圈爆疫】確診歌手施匡翹牽連TVB近百人 無綫明起封城兩日
#香港 #tvb #武漢肺炎
https://t.co/E11lcUSHcm",0
"? 中國公佈抗擊疫情的成本，每位重症患者從治療到出院的費用為20萬至40萬元，這些費用都是由國家承擔。

? 之後，我理解了某些西方國家為什麼把COVID-19比作是流行性感冒，但我還是不理解，為什麼寧願把錢投入戰爭，也不願把錢用在拯救他們國民的生命。 https://t.co/p3K8OTVPPi",0
"世界軍力排名，台灣由第13名晉升至第10

前10名依次為
美國
俄羅斯
中國
印度
日本
英國
法國
南韓
義大利
台灣

蔡英文上任以來，不斷增加國防預算，经常走訪中科院關心研發進度，下令量產必備軍武，不斷強化戰力，在壯大台灣军力道路上，世界有目共睹
https://t.co/dJwmbhxiuX",0
有一個很重要的點，大家一定要注意看。鍾南山說，武漢病毒雖然在中國爆發，但「不一定源自中國」！大家不要認為這是一句鬼話，恰恰相反，我認為，這是一句實話！透露了巨大的秘密！我很久前已經說了，武漢病毒不是中共的能力可以製造的！為什麼全世界不追查來源？因為病毒就是白人製造的！中共投放！,1
"請問各位大大，我隔離期間該幹什麼好？我媽說他問了，連飯店窗戶都不能打開⋯⋯⋯

目前只想到買lush泡澡球，每天在浴缸裡度過1-2小時⋯⋯⋯",0
武漢市政府急下文件，有確診病例的社區，從14日開始全封閉：不能進出，不能出房子，不能外出買東西......https://t.co/7dstH7rTIw,0
"接上推：二次疫情雖然是個笑話，但以皇帝的認知能力和性格，加上他身邊那班豬隊友，北京會被這個笑話搞得再次疲憊不堪，進而使中國的經濟進一步快速崩塌。



有個腦洞：也許很多年後，醫學界將證明這個病毒真的不烈。但中共這個貌似強大的邪教就是在那種虛幻的恐懼中開始了實質性的崩塌。



悲哀？搞笑？",0
"【山東滕州：民間藝人創作面塑“逆行者”為戰勝疫情加油】疫情當前，共克時艱，山東省滕州市民間文藝家協會的民間藝人梁軍根據奮戰在抗擊新冠肺炎一線的""逆行者""形象，創作了為“武漢加油”和關公形象的面塑，藝術的手法表現了中國人民戰勝病魔的決心。 https://t.co/pjBZLEf0w9",0
"嘩so crazy men😨
我又諗到支那人free hug個張圖了🤮
其實係咪共產黨一早計劃好既生化武器黎？🙈

義大利支那肺炎單日暴增566例確診共34死！　法國確診破百：羅浮宮員工「暫時不幹了」
https://t.co/Y69qUR8puE
- 分享自 LIHKG 討論區",1
"? 任何真相，都是建立在懷疑的基礎上調查而來！

? 又一宗使新冠狀病毒的起源更加明確一些的案例。

? 下面的影像是來自?另一名電子煙肺炎患者的CT動態影像?，這名電子煙肺炎患者的症狀和CT影像，經中國武漢醫學專家診斷，與COVID-19吻合。

我對感染電子煙肺炎患者的症狀存在以下幾點疑問：

↘... https://t.co/jhEwad3FyW",0
"巴西將進口4600萬劑中國疫苗 網民:史上最大人體試驗



英國《BBC》報導，巴西多位州長和衛生部長會談後宣布，除了將會購入阿斯特捷利康和英國牛津大學共同研發的疫苗之外，也將進口中國北京科興中維生物技術有限公司製造的「CoronaVac」疫苗。 https://t.co/Wjz8TZM872",1
"As of 2/23



武漢肺炎疫情席捲全球下的三種國家(病例數); 



1.對中國不信任甚至帶有敵意 e.g. 台灣(28)、美國(35)



2. 如膠似漆的換帖，對中國的認識深入骨髓 e.g. 俄羅斯(2)、北韓(已砲決)



3. 瞹瞹眛眛，兩面討好，要命又要錢，該斷不斷 e.g. 韓國(556)、日本(135)、義大利(137)、伊朗(43)...",0
"中國武肺疫苗副作用多達73種　上海專家驚呼：世上最不安全



接種這款疫苗後副作用（局部或全身不良反應）多達73種，除了常見的接種部位疼痛、頭痛外，更可能出現高血壓、視力減退、喪失味覺及尿失禁等嚴重副作用。感嘆中國疫苗「一舉成為世界上最不安全的疫苗」。 https://t.co/8sovbPiLyT",1
"中國代表李松在昨日WHO會場上竟跟各國公然撒謊胡扯說：「台灣的專家也到武漢進行訪問，還說中共政府在保護台灣同胞建康、福祉上面，可以說是非常真誠。」

實在噁心!

台灣公布成功研發確診快篩試劑，篩檢時間從原先4小時所短至15分鐘。

既然中共繼續撒謊，台灣就沒必要提供給中共任何援助試劑了！",1
【印度新冠肺炎確診病例超600萬】印度衛生部28日上午公佈的數據顯示，過去24小時印度新增新冠確診病例82170例，累計確診突破600萬例，達6074702例，新增死亡1039例，累計死亡95542例。印度中央統計局8月底發布的數據顯示，受疫情影響，8月印度總失業率達8.35%。 https://t.co/Ij1WFxb8GE,0
武漢P4實驗室不止一間！武漢病毒研究所的石正麗、周鵬合成病毒，這個國家在鼓勵科學家成魔（江峰漫談20200203第111期） https://t.co/6TX61pGa9i 來自 @YouTube,1
這次病毒加經濟的危機非同小可！千萬不要以為「已經調整了」，現在真的剛剛開始！川普現在禁止歐洲人入境，是太晚了！美國本土已經擴散了！香港一個埃及旅行團，9個人全部感染！感染率100%！😨😱義大利死亡率6.6%！這次大概率全球幾億人感染，過百萬人死亡！美股大概率打回原形，中國95%人財富歸零！😨,1
英國：中國必須回答新冠疫情如何爆發 https://t.co/TFMBS9zGV3 https://t.co/Il7Of13O2A,0
"中共病毒是中國的禍患，也是世界的禍患。被中共病毒格式化的大腦才能講出這位紅色少年的豪言壯語。

再看看他身邊的父母，對自己病態的兒子很欣賞，身邊的成年男子看手機聽電話，自己就是垃圾素質，怎麼知道下一代中毒有多深！

中共武漢病毒就是中共病毒之一，是要毀滅人類文明的生化武器。 https://t.co/Alb2YzKd9X",1
川普要漲權了……參院司法委主席格雷厄姆率多位共和黨人推出《2019年新冠病毒問責法》，授權總統實施一系列制裁，包括凍結資產、禁止旅行、吊銷簽證、限制美國金融機構向中國企業提供貸款或承銷，以及禁止中國公司在美國證券交易所上市。,0
今天社區管理升級，出入憑出入證。剛從外地回來居戶暫不給辦理，需要食品必需品打電話送上門。早如此何至於一下拉走十幾個人隔離？有人問最基層公務員：“是不是又發現新疫情？”對方驚慌失措連連否認：“沒有！沒有！要有就該問責了。”原來”2“這個數字還關係着烏紗帽。這是否也是特色的中國式數字管理？,0
"公司
「你隔離時應該吃不好吧，
等你出來那天我們來辦歡迎餐會喔」

Nooooooooooooo",0
"【WHA開幕】習近平致詞稱中國疫情「公開、透明」　宣布金援受影響國家20億美元

#蘋果新聞網 #appledailytw #appledaily #WHA #WHO #中國 #中国 #China #習近平 #习近平 #武漢肺炎 #新型冠狀病毒 #防疫 #疫情 #ChinaPneumonia #WuhanPneumonia #Coronavirus #COVID19

→→https://t.co/tKxLqn8xLF https://t.co/JKU5SW4hZU",0
"轉

1. 台灣是全世界少數還買得到口罩，且價格沒有暴漲數倍的國家。
2. 台灣也是第四個分離出病毒株，開始加速藥物研發進度的國家。
3. 台灣是唯一沒入WHO，卻能靠自己能力分離出病毒株的國家。

你到底覺得政府哪裡爛？
你到底覺得台灣哪裡爛？

#厲害了我的國 
#台灣正能量 https://t.co/eAVFG1NqCI",0
今晚在美國加州雷德蘭茲大學的演講很成功，組織者們是一羣朝氣蓬勃的年經人，有一個還把他祖父母都叫來聽了。演講結束後，他們問了很多問題，美國怎樣幫助中國民衆獲得自由、 #新冠病毒 到底怎麼回事，是不是實驗室跑出來的、到非洲旅行是否安全、如果美國 IT巨頭都幫中共，怎樣才能推倒 #防火翻 等等,0
"【#輿情觀察：李文亮去世後互聯網上的一夜】



李文亮醫生的死訊，掀起了疫情以來中國全網範圍最大的一次輿論海嘯，人們在各類社交平台要求政府道歉，更罕見出現爭取「言論自由」的呼聲。



有網民說「吹哨人死了，但我們要把哨子保護好」，還提出對應的 #五大訴求缺一不可...



https://t.co/aq5zZKoL6v",0
恰逢四中全會即將召開之際，網上傳出習因病住進北京301醫院的消息，有三種可能:1)習真病了，中共核心高層因恨習，故意泄露這一中共最高機密;2)習裝病，引政治對手出手，然後一網打盡;3)習害怕召開四中全會被問責而失一尊地位，故意裝病，想再次延後召開。此時傳出此消息，説明中共內鬥白熱化，將攤牌。,1
醫生寫字全憑靈感，護士拿藥全憑心情，患者活著全憑運氣！為什麼好好的漢字寫的象天書？就怕你看明白了去藥店買嗎……？ https://t.co/00nfdf7Ruc,1
"法國發現第一例新冠變種病毒，患者是住在英國的法國公民，12月19日進入法國，居住在法國中部的圖爾市，當時沒有出現任何症狀，21號驗出新病毒，成陽性。
法國衛生當局已對患者和患者接觸的所有人員進行追蹤，並且進行隔離。
大家保重🙏🙏🙏2021年又是一個艱難的一年😭😭😭 https://t.co/d7OXNL7mOo",0
"揭穿匪共謊言！衷心感謝張文宏教授！复旦大学,华山医院感染科主任张文宏教授12月22日在会议上,因很多医务人员拒绝接种國產疫苗发表觀點说,“今天谁要应该先打？我个人觉得,现在要打是领导干部和黨員要先打”.而其它主要職務醫生也紛紛表示,“主要領導先打,我們才會打”.有醫生提出,國家進口的疫苗給誰打 https://t.co/nMmifcIfcH",1
"蘋果

【世衞拒宣佈疫情「大流行」 譚德賽收中國$1.5億捐款感謝習總】

https://t.co/HdbbBjMThZ https://t.co/ed9llqpZqD",0
【鐘南山：中國5款疫苗進入二期臨床試驗】中國工程院院士、國家呼吸系統疾病臨床醫學研究中心主任、高級別專家組組長鐘南山表示，我國在疫苗的研發方面走在全世界第一方陣中，目前已有5款疫苗進入了二期臨床試驗。 https://t.co/c8xz16dRiX,0
"大年初二淩晨，我向全世界關注武漢疫情的朋友們帶來公民記者陳秋實武漢疫區採訪實錄系列第三集的影片。https://t.co/nmXIJNMDC2



影片裡，我走訪了武漢金銀潭醫院和武漢第十一醫院，帶來了第一手視頻、相關採訪見聞和防護小常識。我會更努力將疫區最真實的一面播報給全世界關注中國疫情的朋友們。 https://t.co/tJr99hUic6",0
"一個中國，一齊交稅？?



原文: 美國海關：來源地為香港的貨物，一律需標籤作""China""

https://t.co/1FC2cdv5s2



●來源：新冠人民共和國

#香港 #美國 #海關 #制裁 #LIHKG https://t.co/BjUG4ATc4q",0
"妹妹的先生因為工作的關係不得不去日本，昨天晚上到了之後，自駕到自己訂好的防疫飯店開始隔離14天。⤵️
他昨天晚上跟今天晚上的隔離餐😲 https://t.co/kJXzw5Wmtw",0
"中共外交部發言人指責美國軍人將武漢肺炎傳播到中國.這個謠言2月3日《南方人物週刊》早已澄清,說確實有5個外籍軍人患病,但患的是瘧疾,而且5人還不能確定是美國軍人.這是南方人物週刊的正式報導

ZT：金银潭医院：军运会五外籍运动员患疟疾，与新冠肺炎无关。https://t.co/PKUaoLI3vD",0
【#印度出現首例確診病例：系一名在武漢讀書的印度學生】環球網消息，據印度快報，印度出現首例新冠病毒感染肺炎確診病例。印度快報稱，該病例是一名在武漢讀書的喀拉拉邦學生。 https://t.co/sE62iJ4lw2,0
不僅武漢病毒來自實驗室，上一次的非典病毒也來自中共實驗室。區別在於，上一次胡錦濤沒有故意向全世界釋放病毒，而狗肉包子就幹向全世界釋放。西方人小清新，不理解這樣的邪惡。有些中國人理中客，假裝求證據。都愚蠢，都是包子裡面的餡兒。,1
台灣公布與世衛組織電文全部內容 並批世衛組織竟說不專業話 https://t.co/iYoGv6TToK https://t.co/SaoETwaygN,0
"警稱接報有人在荃灣警署被強姦　指控與調查結果不吻合

網上有傳一名女子被捕後遭警方性侵，其後要到伊利沙伯醫院接受墮胎手術。警方回應查詢時表示，投訴警察課上月22日收到一名律師代表報案，指他的當事人聲稱於9月27日，於荃灣警署內被強姦。下面再接

Dllmch自己查自己邊撚個信啊
Dlllmmmmm",1
這兩天很多反賊推友用一個模板自黑，誇大西方國家的疫情，勸誘愛國小留回中國，很多人上當，其實中國政府在這方面已經做得很好了。。。 https://t.co/3cCG6UyJlu,0
"「武漢肺炎疫情已擴散到全球，尤其鑽石公主號遊輪上的疫情日益嚴峻，人心惶惶，不過世界衛生組織（WHO）認為，在中國以外的地區只有極少數人染病，不可以採取全面措施防疫，要大家別過度反應。」



#這種世界不衛生組織可以解散了

https://t.co/PID4uFTXwZ",0
中國控制疫情的絕勝必殺技…… https://t.co/NkKKIy7vDP,0
目前各國官方對疫情的分析都是建立在中共假信息的基礎上，比如各國「0號」感染者大部分都是習近平1月20日公開疫情後出現的。中國科學家已證實，武漢疫情時間最早追溯到2019年10月。難道武漢肺炎病毒要等到習近平宣布之後再「出國」嗎？所以，越來越越多證據顯示1月之前其他國家已中招。,1
【今天，全中國默哀三分鐘】為表達對抗擊新冠肺炎疫情鬥爭犧牲烈士和逝世同胞的深切哀悼，2020年4月4日舉行全國性哀悼活動。全國和駐外使領館下半旗誌哀，全國停止公共娛樂活動。 4月4日10時起，全國人民默哀3分鐘，汽車、火車、艦船鳴笛，防空警報鳴響。直播：https://t.co/jd22LqbqcE https://t.co/hOUrkMddVV,0
"中共的宣傳不可信。
跟團出國旅遊，很多時候護照不在本人手裡。

想想那8位因「造謠」被約談、處罰的醫生，人在一線接診病人，卻要被逼認罪認錯，承認傳播不實消息。中共之惡超乎人們的想像，這是中共邪惡的本質決定的。。

https://t.co/UwlgjfPdqQ",1
"FB看到拍賣直播找董至成
這種商家根本直接進問題名單
怎麼說
董至成2018大張旗鼓地「西進」先把台灣罵爛，然後捧「習近平真不是普通人，一招對台利多就把人才都吸去大陸，現在全面開放，聽說醫生、律師有證照都能過去，這下台灣菁英不就都走光了？」
藝人真一堆品德眼光有病的
https://t.co/mmIk4kaU6i",1
即使川普苦口婆心勸說也沒用，蘋果CEO庫克把賭注押在中國。誰也沒想到出了武漢肺炎疫情，中共也幫不上忙。 https://t.co/fbJYzqalmV,0
據推特上知情人士透露，武漢前幾天的巨響，據居住在病毒所附近的親友說，是中共在炸毀實驗室部分設施！??這肯定不是軍用運輸機！因為音爆只有超音速的時候才會引發！運輸機不會有音爆！最詭異的是，WHO的專家組，竟然「不去武漢考察」！?去了京廣川！加上中共至今拒絕美國專家，更令人極度懷疑！,1
"成都兒科門診量驟降！今年一季度，華西第二醫院兒科門診量同比減少4成，省婦幼保健院小兒內科門診從高峰時一個月3萬余人降至4千。

這一切自然是因為疫情期間，小神獸們都宅家+戴口罩。😷😷😷",0
"中國在疫情之中成為全世界最安全的國家之一？！我有沒有看錯啊？



紐約時報在帶什麼風向？是要用大外宣把中國跟台灣重疊嗎？感覺很像認知戰的味道??



https://t.co/n1WQJJqYPw https://t.co/5zfFytXFHP",0
"回來台灣就是14天的隔離
再加上兩個月在廈門的時間
我還能說什麼 https://t.co/PGfBjlsa61",0
"中國是否隱匿疫情？　世衛祕書長：不能說有或沒有。



好熟悉的台詞（咦）

#介於有或沒有之間



https://t.co/OJq0RbHyH1",0
也許我的猜測是錯的，整個加拿大，沒有中國外交機構的省份，疫情都要輕很多。朋友們覺得是不是這麽回事？,0
